promo_id,promo_name,sku,mechanic,start_date,end_date,planned_discount_pct,funding_source
PROMO-301,Brightwash Buy 2 Get 1 Free - Q1,MP-1016,Buy 2 Get 1 Free,2024-10-06,2024-10-26,0.333,Supplier co-funded
PROMO-302,Brightwash Buy 2 Get 1 Free - Q2,MP-1016,Buy 2 Get 1 Free,2025-01-05,2025-01-25,0.333,Supplier co-funded
PROMO-303,Brightwash Buy 2 Get 1 Free - Q3,MP-1016,Buy 2 Get 1 Free,2025-04-06,2025-04-26,0.333,Supplier co-funded
PROMO-304,Brightwash Buy 2 Get 1 Free - Q4,MP-1016,Buy 2 Get 1 Free,2025-07-06,2025-07-26,0.333,Supplier co-funded
PROMO-305,Brightwash Buy 2 Get 1 Free - Q1,MP-1016,Buy 2 Get 1 Free,2025-10-05,2025-10-25,0.333,Supplier co-funded
PROMO-306,Brightwash Buy 2 Get 1 Free - Q2,MP-1016,Buy 2 Get 1 Free,2026-01-04,2026-01-24,0.333,Supplier co-funded
PROMO-307,Brightwash Buy 2 Get 1 Free - Q3,MP-1016,Buy 2 Get 1 Free,2026-04-05,2026-04-25,0.333,Supplier co-funded
PROMO-308,Brightwash Buy 2 Get 1 Free - Q4,MP-1016,Buy 2 Get 1 Free,2026-07-05,2026-07-25,0.333,Supplier co-funded
PROMO-309,Sweetwell price promotion,MP-1118,10% off,2025-02-27,2025-03-19,0.1,Meridian funded
PROMO-310,Kopje Cola price promotion,MP-1012,10% off,2025-02-12,2025-03-04,0.12,Supplier co-funded
PROMO-311,Verdelle price promotion,MP-1088,Multibuy 3 for 2,2025-01-07,2025-02-03,0.12,Supplier co-funded
PROMO-312,Softleaf price promotion,MP-1058,Multibuy 3 for 2,2024-11-22,2024-12-19,0.12,Meridian funded
PROMO-313,Softleaf price promotion,MP-1059,10% off,2025-05-26,2025-06-08,0.1,Meridian funded
PROMO-314,Dawnbrew price promotion,MP-1073,Multibuy 3 for 2,2025-01-12,2025-02-01,0.12,Supplier co-funded
PROMO-315,Kopje Cola price promotion,MP-1009,15% off,2026-04-20,2026-05-10,0.12,Supplier co-funded
PROMO-316,Brightwash price promotion,MP-1017,Multibuy 3 for 2,2024-10-20,2024-11-16,0.12,Meridian funded
PROMO-317,Verdelle price promotion,MP-1092,15% off,2025-12-14,2025-12-27,0.12,Supplier co-funded
PROMO-318,Golden Acre price promotion,MP-1101,15% off,2024-12-01,2024-12-21,0.1,Meridian funded
PROMO-319,Meadowvale price promotion,MP-1108,15% off,2025-03-22,2025-04-11,0.1,Meridian funded
PROMO-320,Crunchpop price promotion,MP-1110,Multibuy 3 for 2,2025-04-04,2025-05-01,0.1,Supplier co-funded
PROMO-321,Softleaf price promotion,MP-1058,10% off,2026-04-09,2026-04-22,0.15,Meridian funded
PROMO-322,Verdelle price promotion,MP-1090,Multibuy 3 for 2,2025-12-26,2026-01-08,0.12,Supplier co-funded
PROMO-323,Verdelle price promotion,MP-1030,15% off,2024-11-26,2024-12-23,0.15,Meridian funded
PROMO-324,Dawnbrew price promotion,MP-1014,15% off,2025-12-08,2025-12-21,0.12,Supplier co-funded
PROMO-325,Crunchpop price promotion,MP-1110,15% off,2025-06-09,2025-07-06,0.12,Meridian funded
PROMO-326,Meadowvale price promotion,MP-1108,15% off,2025-06-05,2025-06-25,0.15,Supplier co-funded
PROMO-327,Minta price promotion,MP-1096,10% off,2025-12-11,2025-12-24,0.15,Supplier co-funded
PROMO-328,Citrona price promotion,MP-1082,Multibuy 3 for 2,2026-06-22,2026-07-19,0.12,Supplier co-funded
PROMO-329,Zesta price promotion,MP-1006,Multibuy 3 for 2,2025-07-09,2025-07-29,0.15,Supplier co-funded
PROMO-330,Brightwash price promotion,MP-1076,15% off,2024-12-01,2024-12-21,0.15,Supplier co-funded
PROMO-331,Meadowvale price promotion,MP-1043,15% off,2026-03-23,2026-04-05,0.1,Meridian funded
PROMO-332,Verdelle price promotion,MP-1091,Multibuy 3 for 2,2024-10-05,2024-10-25,0.1,Meridian funded
PROMO-333,Minta price promotion,MP-1094,10% off,2026-04-24,2026-05-14,0.1,Supplier co-funded
PROMO-334,Citrona price promotion,MP-1080,Multibuy 3 for 2,2026-06-16,2026-07-06,0.1,Meridian funded
