sku,product_name,brand,category,subcategory,pack_size,weight_kg,unit_cost,list_price,status,launch_date
MP-1001,Cascade Springs Still 12x1.5L,Cascade Springs,  Beverages,Bottled Water,Still 12x1.5L,19.2,12.4,16.3,Active,2022-06-14
MP-1002,Cascade Springs Still 6x5L,Cascade Springs,Beverages,Bottled Water,Still 6x5L,30.6,17.9,23.6,Active,2022-04-24
MP-1003,Cascade Springs Sparkling 12x1.5L,Cascade Springs,Beverages,Bottled Water,Sparkling 12x1.5L,19.4,13.1,17.2,Active,2022-03-31
MP-1004,Cascade Springs Still 24x500ml,Cascade Springs,Beverages,Bottled Water,Still 24x500ml,12.8,9.6,12.8,Active,2022-05-15
MP-1005,Zesta Orange 12x1L,Zesta,Beverages,Juice,Orange 12x1L,13.1,17.4,25.9,Active,2022-11-03
MP-1006,Zesta Mango 12x1L,Zesta,Beverages,Juice,Mango 12x1L,13.1,17.8,26.4,Active,2020-12-15
MP-1007,Zesta Apple 24x330ml,Zesta,Beverages,Juice,Apple 24x330ml,9.4,14.2,21.8,Active,2024-02-12
MP-1008,Zesta Tropical 6x2L,Zesta,Beverages,Juice,Tropical 6x2L,13,16.1,24.6,Active,2020-02-07
MP-1009,Kopje Cola Original 24x330ml,Kopje Cola,Beverages,Carbonates,Original 24x330ml,9.8,11.2,17.9,Active,2019-08-25
MP-1010,Kopje Cola Zero 24x330ml,Kopje Cola,Beverages,Carbonates,Zero 24x330ml,9.8,11.4,18.1,Active,2020-10-10
MP-1011,Kopje Cola Original 12x2L,Kopje Cola,Beverages,Carbonates,Original 12x2L,25.4,18.6,28.4,Active,2018-08-29
MP-1012,Kopje Cola Lemon 24x330ml,Kopje Cola,Beverages,Carbonates,Lemon 24x330ml,9.8,11.3,18,Active,2019-10-21
MP-1013,Dawnbrew Tea 100s x12,Dawnbrew,Beverages,Hot Beverages,Tea 100s x12,4.6,21.3,34.2,Active,2023-05-24
MP-1014,Dawnbrew Instant Coffee 200g x12,Dawnbrew,Beverages,Hot Beverages,Instant Coffee 200g x12,3.1,38.4,61.5,Active,2018-11-26
